,nodeA,nodeB,polarity
213,Ari Fleischer,Marco Rubio,0.6369
214,George W. Bush,Marco Rubio,0.6369
215,Carson,Trump,0.6369
216,Ari Fleischer,Trump,0.6369
217,George W. Bush,Trump,0.6369
218,Ari Fleischer,Carson,0.6369
219,Carson,George W. Bush,0.6369
220,Ari Fleischer,George W. Bush,0.6369
221,Mitt Romney,Stuart Stevens,0.5423
222,Corey Lewandowski,Trump,0.0
223,Lewandowski,Trump,0.0
224,Ferguson,Michael Brown,-0.9136
225,Darren Wilson,Ferguson,-0.9136
226,Darren Wilson,Michael Brown,-0.9136
227,Brown,Wilson,0.4019
228,Brown,Brown,0.4019
229,Brown,Wilson,0.4019
230,Brown,Dorian Johnson,0.3045
231,Brown,Brown,0.2732
232,Brown,Wilson,0.2732
233,Brown,Wilson,0.2732
234,Brown,Wilson,-0.128
235,Brown,Wilson,-0.6369
236,Brown,Wilson,0.0
237,Brown,Brown,0.0
238,Brown,Wilson,0.0
239,Brown,Wilson,0.0
240,Brown,Wilson,0.0
241,Wilson,Wilson,0.0
242,Wilson,Wilson,0.0
243,Brown,Wilson,0.0
244,Brown,Wilson,0.0
245,Wilson,Wilson,0.0
246,Brown,Brown,0.0
247,Brown,Johnson,0.4215
248,Brown,Johnson,0.0
249,Johnson,Wilson,0.0
250,Brown,Wilson,0.0
251,Brown,Johnson,-0.6996
252,Brown,John Crawford III,-0.6705
253,Ferguson,Tamir Rice,-0.3612
254,Bernie Sanders,Hillary Clinton,-0.4767
255,Barney Frank,Dannel Malloy,0.0
256,Frank,Malloy,-0.5719
257,Clinton,Malloy,-0.5719
258,Clinton,Frank,-0.5719
259,Jim Roosevelt,Lorraine Miller,-0.5023
260,Debbie Wasserman Schultz,Tim Canova,0.3182
261,Frank,Wasserman Schultz,-0.6599
262,Frank,Malloy,-0.3612
263,Clinton,Sanders,0.1832
264,Sanders,Sanders,0.1832
265,Deutsch,Sanders,0.1832
266,Clinton,Sanders,0.1832
267,Clinton,Deutsch,0.1832
268,Deutsch,Sanders,0.1832
269,Frank,Tad Devine,0.3818
270,Hillary Clinton,Tad Devine,0.3818
271,Frank,Hillary Clinton,0.3818
272,Devine,Frank,0.0
273,Leigh Appleby,Malloy,0.2732
274,Murray,Obama,0.4404
275,Jarrett,Tom Perez,-0.1027
276,Jarrett,Perez,0.0
277,Kiymet Ergun,Kurd,0.5719
278,Kiymet Ergun,Kurd,0.5719
279,Kobani,Minaz,-0.6705
280,Junko Ishido,Kenji Goto,0.0
281,Al-Kasasbeh's,Moath al-Kasasbeh,0.3818
282,Mohammed Musallam,Neve Yaakov,0.0
283,Anna Eshoo,Jeff Fortenberry,0.0
284,Kerry,Obama,0.5267
285,Baaklini,Kerry,0.5267
286,Baaklini,Obama,0.5267
287,Rand Paul,Ted Cruz,0.3818
288,Donald Trump,Herman Cain,0.4404
289,Ben Carson,Herman Cain,0.4404
290,Carly Fiorina,Herman Cain,0.4404
291,Ben Carson,Donald Trump,0.4404
292,Carly Fiorina,Donald Trump,0.4404
293,Ben Carson,Carly Fiorina,0.4404
294,Cruz,Rand Paul,0.3818
295,Brian Kilmeade,Paul,-0.5719
296,Brian Kilmeade,Cruz,-0.5719
297,Cruz,Paul,-0.5719
298,Carson,Trump,0.872
299,Carson,Fiorina,0.872
300,Fiorina,Trump,0.872
301,Giuliani,Giuliani,0.8402
302,Neil Sroka,Sanders,0.7003
303,Clinton,Clinton,-0.5267
304,Jeff Weaver,Steve Kornacki,-0.3182
305,Clinton,Hillary Clinton,0.5859
306,Clinton,Clinton,0.4767
307,Clinton,Clinton,-0.7514
308,Clinton,Monica Lewinsky,-0.4404
309,Clinton,Lewinsky,0.296
310,Clinton,Osama bin Laden,0.34
311,Blackberry,Clinton,0.0
312,Bernie Sanders,Clinton,0.6124
313,Bernard Cazeneuve,Francois Hollande,0.0
314,Francois Hollande,Jacques Meric,0.0
315,Bernard Cazeneuve,Jacques Meric,0.0
316,Chérif Kouachi,Said,-0.34
317,Charlie Hebdo,Muhammad,-0.25
318,Donald Trump,Jeb Bush,-0.7184
319,Donald Trump,George W. Bush’s,-0.7184
320,George W. Bush’s,Jeb Bush,-0.7184
321,Ted Cruz,Trump,0.296
322,Antonin Scalia,Cruz,0.25
323,Hillary Clinton,Kasich,-0.5994
324,Cruz,Marco Rubio,-0.7003
325,Cruz,Cruz,-0.25
326,Cruz,Obama,-0.296
327,Bush,Trump,-0.6124
328,Bush,Bush,-0.0516
329,Bush,Trump,-0.8166
330,Jeb,Trump,0.0
331,Bush,Bush,0.128
332,Jeb Bush,Trump,0.3182
333,George W. Bush,Jeb Bush,0.3182
334,George W. Bush,Trump,0.3182
335,Carson,Cruz,-0.296
336,Bush,Kasich,-0.7778
337,Carly Fiorina,Chris Christie,-0.2732
338,Cruz,Kasich,0.0
339,Bush,Kasich,0.0
340,Bush,Cruz,0.0
341,David Bernstein,George Mason,0.0
342,David Bernstein,Obama,0.0
343,Cruz,David Bernstein,0.0
344,George Mason,Obama,0.0
345,Cruz,George Mason,0.0
346,Cruz,Obama,0.0
347,Cruz,Tom Phillips,0.7906
348,Cruz,Toby Neugebauer,0.7351
349,Cruz,Toby Neugebauer,0.7351
350,Cruz,Cruz,0.7351
351,Cruz,William Rehnquist,0.891
352,George W. Bush’s,William Rehnquist,0.891
353,Bush,William Rehnquist,0.891
354,Bush,William Rehnquist,0.891
355,Cruz,George W. Bush’s,0.891
356,Bush,Cruz,0.891
357,Bush,Cruz,0.891
358,Bush,George W. Bush’s,0.891
359,Bush,George W. Bush’s,0.891
360,Bush,Bush,0.891
361,Abbott,Cruz,0.2023
362,Cruz,Jim Ho,0.8555
363,Cruz,Ho,-0.4767
364,Hillary Clinton,Jeff Weaver,0.0
365,Clinton,Clinton,0.4019
366,Clinton,Clinton,0.4019
367,Clinton,Clinton,0.4019
368,Clinton,Robby Mook,0.0
369,Brian Fallon,Clinton,-0.296
370,Bernie,RoseAnn DeMoro,0.4404
371,Clinton,Howard Dean,0.4404
372,George W. Bush,Reagan,0.0
373,Gmails,Tye,0.8166
374,Andrew Napolitano,Martha Stewart,-0.4019
375,Clinton,Patrick Kennedy,0.34
376,Brian Hale,Politico,0.4019
377,Clinton,Duval,0.0
378,David Kendall,Duval,0.0
379,Duval,Lois Lerner,0.0
380,Clinton,David Kendall,0.0
381,Clinton,Lois Lerner,0.0
382,David Kendall,Lois Lerner,0.0
383,Donald Trump,Gary Johnson,0.25
384,Joe Hunter,Johnson,0.3612
385,Bill Weld,Johnson,0.0
386,Johnson,Weld,0.6486
387,Hillary Clinton,Johnson,0.6486
388,Hillary Clinton,Weld,0.6486
389,Clintons,Johnson,-0.0258
390,Johnson,Scott Rigell,0.4019
391,Reid Ribble,Scott Rigell,0.4019
392,Mike Coffman,Scott Rigell,0.4019
393,Johnson,Reid Ribble,0.4019
394,Johnson,Mike Coffman,0.4019
395,Mike Coffman,Reid Ribble,0.4019
