,nodeA,nodeB,polarity
242,Edward Snowden,Trump,-0.3791666666666667
243,James Comey,Warren,-0.016666666666666677
244,Elizabeth Warren,Hillary Clinton,-0.01272727272727273
245,Hillary Clinton,James Comey,-0.022222222222222216
246,Comey,James Comey,-0.022222222222222216
247,Comey,Hillary Clinton,-0.022222222222222216
248,David Stockman,Lew Rockwell,0.0
249,Cyrus Mistry,Rohit Sharma-Mistry,0.0
250,Cyrus Mistry,Ratan Rata,0.0
251,Clinton,Comey,-0.08333333333333333
252,Clinton,Comey,0.0
253,Comey,Huma Abedin,0.0
254,Anthony Weiner,Comey,0.0
255,Clinton,Huma Abedin,0.0
256,Anthony Weiner,Clinton,0.0
257,Anthony Weiner,Huma Abedin,0.0
258,Comey,Donald Trump,0.0
259,Comey,Comey,0.0
260,Comey,Donald Trump,0.0
261,Clinton,McCarthyite,-4.625929269271485e-18
262,Clinton,Trump,-4.625929269271485e-18
263,Clinton,Vladimir Putin,-4.625929269271485e-18
264,McCarthyite,Trump,-4.625929269271485e-18
265,McCarthyite,Vladimir Putin,-4.625929269271485e-18
266,Trump,Vladimir Putin,-4.625929269271485e-18
267,Clinton,Comey,0.05000000000000001
268,Clinton,Comey,0.05000000000000001
269,Clinton,Clinton,0.05000000000000001
270,Hillary Clinton,Trump,0.7
271,Glenn Beck,Trump,0.8
272,Beck,Clinton,0.4
273,Glenn Beck,Hillary Clinton,0.14285714285714285
274,John Podesta,Wikileaks,0.25
275,Clinton,Wikileaks,0.25
276,Cheryl Mills,Wikileaks,0.25
277,Clinton,John Podesta,0.25
278,Cheryl Mills,John Podesta,0.25
279,Cheryl Mills,Clinton,0.25
280,Donald Trump,Obamas,0.0
281,Melania,Obamas,0.0
282,Donald Trump,Melania,0.0
283,Michelle Obama,Obama,0.1875
284,George W. Bush,Obama,0.1875
285,Laura Bush,Obama,0.1875
286,George W. Bush,Michelle Obama,0.1875
287,Laura Bush,Michelle Obama,0.1875
288,George W. Bush,Laura Bush,0.1875
289,Obama,Trump,0.14166666666666666
290,George W. Bush,Laura Bush,0.0
291,Barack Obama,George W. Bush,0.0
292,George W. Bush,Michelle,0.0
293,Barack Obama,Laura Bush,0.0
294,Laura Bush,Michelle,0.0
295,Barack Obama,Michelle,0.0
296,Donald Trump,Hillary Clinton,0.3
297,Matrix,Morpheus,0.0
298,Mel,Vladimir Putin,0.25
299,Buzzfeed,Snapchat,0.0
300,Donald Trump,Hillary Clinton,0.0
301,Andrew Young,Brandon Turbeville - October,0.052500000000000005
302,Andrew Young,Jimmy Carter,0.052500000000000005
303,Andrew Young,Andrew Young,0.052500000000000005
304,Andrew Young,Nathan Deal,0.052500000000000005
305,Andrew Young,David Ralston,0.052500000000000005
306,Brandon Turbeville - October,Jimmy Carter,0.052500000000000005
307,Andrew Young,Brandon Turbeville - October,0.052500000000000005
308,Brandon Turbeville - October,Nathan Deal,0.052500000000000005
309,Brandon Turbeville - October,David Ralston,0.052500000000000005
310,Andrew Young,Jimmy Carter,0.052500000000000005
311,Jimmy Carter,Nathan Deal,0.052500000000000005
312,David Ralston,Jimmy Carter,0.052500000000000005
313,Andrew Young,Nathan Deal,0.052500000000000005
314,Andrew Young,David Ralston,0.052500000000000005
315,David Ralston,Nathan Deal,0.052500000000000005
316,Donald Trump,Laura Wilkerson,-0.5833333333333334
317,Hillary Clinton's,Laura,0.0
318,Rashidin 4,Rashidin 5,0.05333333333333334
319,Khan Tuman,Rashidin 4,0.05333333333333334
320,Khan Tuman,Rashidin 5,0.05333333333333334
321,Aleppo,Ithriyah,0.0
322,Vox,Zack Beauchamp,0.05
323,Aleppo,Martin Chulov,0.16666666666666666
324,Ibrahim al-Yousef,Salafists,0.012121212121212116
325,Donald Trump,Hillary Clinton,0.05
326,George Soros,Hillary,-0.3333333333333333
327,Donald Trump,Hillary,0.10000000000000002
328,Donald Trump,Hillary,0.10000000000000002
329,Hillary,Hillary,0.10000000000000002
330,Julian Assange,a John Pilger Special,0.3035714285714286
331,Hillary Clinton,a John Pilger Special,0.3035714285714286
332,Donald Trump,a John Pilger Special,0.3035714285714286
333,Hillary Clinton,Julian Assange,0.3035714285714286
334,Donald Trump,Julian Assange,0.3035714285714286
335,Donald Trump,Hillary Clinton,0.3035714285714286
336,Assange,Clinton,0.0
337,Clinton,John Podesta,0.0
338,Assange,Hillary,0.0
339,Banks,Hillary Clinton,-0.2625
340,Michael Moore,Michael Moore,-0.175
341,Donald Trump,Moore,0.125
342,Anthony Weiner,Moore,0.125
343,Anthony Weiner,Donald Trump,0.125
344,Bubba,Weiner,0.0
345,Bubba,Newt,0.0
346,Bubba,Comey,0.0
347,Newt,Weiner,0.0
348,Comey,Weiner,0.0
349,Comey,Newt,0.0
350,Tacs,dick pix,0.0
351,Marie Antoinette,Robespierre,0.05
352,Killary,Madame Defarge,-0.25
353,Lucie,Madame Defarge,0.10000000000000002
354,Hillary,Putin,-0.03181818181818183
355,Anthony Weiner,Hillary Clinton,0.5
356,Hillary,Kristen Welker,0.0
357,Clinton,Hillary,0.0
358,Clinton,Kristen Welker,0.0
359,Hillary,Jennifer Griffin,-0.5
360,Bill Clinton,Clinton,-0.3499999999999999
361,Bill Clinton,Clinton,0.07142857142857142
362,Hillary,John Kass,-0.03111111111111108
363,Hillary,James Comey,-1.0
364,Clinton,Trump,0.16
365,Trump,Trump,0.16
366,Clinton,Trump,0.16
367,Clinton,Hillary Clinton,0.25
368,Clinton,Hillary Clinton,0.25
369,Clinton,Clinton,0.25
370,Clinton,Clinton,0.0
371,Clinton,Trump,0.07714285714285714
372,Johnson,Trump,0.07714285714285714
373,Clinton,Johnson,0.07714285714285714
374,Clinton,Trump,-0.022222222222222216
375,Clinton,Trump,0.015873015873015872
376,Clinton,Clinton,0.015873015873015872
377,Clinton,Trump,0.015873015873015872
378,Clinton,Clinton,0.015873015873015872
379,Clinton,Trump,0.015873015873015872
380,Trump,Trump,0.015873015873015872
381,Clinton,Trump,0.015873015873015872
382,Clinton,Trump,0.015873015873015872
383,Clinton,Clinton,0.015873015873015872
384,Clinton,Trump,0.015873015873015872
385,Benedict,Fatima,0.0
386,Benedict,Fatima,0.0
387,Fatima,Fatima,0.0
388,Mike Hookem,Steven Woolfe,0.0
389,Hookem,Woolf,0.06666666666666667
390,Hookem,Woolfe,-0.003125
391,Hookem,Woolfe,0.0
392,Woolfe,Woolfe,0.0
393,Diane James,Woolfe,0.0
394,Paul Nuttall,Suzanne Evans,-0.125
395,Raheem Kassam,Suzanne Evans,-0.125
396,Paul Nuttall,Raheem Kassam,-0.125
397,Anthony Weiner,Hillary Clinton,0.07878787878787878
398,Barack Obama,Micah Johnson,-0.25
399,Lena Dunham,Paul Ryan,0.13712121212121212
400,Che Guevara's,Susan Sarandon,0.1
401,Charlie Brown,Mohammed,-0.14090909090909093
402,Leonard Nimoy,Obama,0.0
403,Ferguson,Ferguson,0.3
404,Obama,Putin,0.10727272727272727
405,Hillary Clinton's,Putin,0.017735042735042728
406,Hillary Hellfire,Putin,0.017735042735042728
407,Hillary Clinton's,Hillary Hellfire,0.017735042735042728
408,Bergdahl,Berkley,0.0
409,Eric Shinseki,Jay Carney,-0.04
410,Netflix,Putin,0.0
411,Putin,anti-gay,0.0
412,Henry Waxman,Marianne Williamson,0.0
413,Joe Biden,Trayvon,0.0
414,George,Zimmerman,0.05
415,Carlos Danger',George,0.05
416,Carlos Danger',Zimmerman,0.05
417,Benghazi,Gosnell,-1.0
418,Chupacabras,Sequester,0.0
419,Reagan,Twitter,-0.151948051948052
420,Obama,Scalia,0.02954545454545454
421,Obama,Sanctuary Cities,0.02954545454545454
422,Sanctuary Cities,Scalia,0.02954545454545454
423,Donald,Hillary Clinton,0.1
424,Donald Trump,Trump,0.0
425,Clinton,Neera Tanden,0.5
426,Hashd al-Shaabi,Qablan,0.25
427,Donald Trump,Hillary,-0.06666666666666668
428,Hillary,Putin,0.125
429,Hillary,Hitler,0.125
430,Hitler,Putin,0.125
431,Hillary,WWIII,0.0
432,Hillary,Spectrum Dominance,0.35
433,Mikhail Rostovsky,Moskovsky Komsomolets,0.125
434,Hillary,Mikhail Rostovsky,0.125
435,Hillary,Moskovsky Komsomolets,0.125
436,Clinton,Hillary,0.07878787878787878
437,Hillary Clinton,Julius Caesar,0.0
438,Gaddafi,Hillary Clinton,0.0
439,Gaddafi,Julius Caesar,0.0
440,Eric Schmidt,Hillary,0.13636363636363635
441,Clinton,Eric Schmidt,0.13636363636363635
442,Clinton,Hillary,0.13636363636363635
443,John Podesta,Robby Mook,0.0
444,David Plouffe,Robby Mook,0.0
445,David Plouffe,John Podesta,0.0
446,Hillary,Schmidt,0.0
447,Schmidt,Schmidt,0.0
448,Hillary,Schmidt,0.0
449,Hillary,Mark Zuckerburg,-0.05833333333333333
450,"Eric 

Notes",Schmidt,0.0
451,Mac Thornberry,Obama,0.03333333333333333
452,Bush,Sean McCormack,0.25
453,McCormack,Obama,0.11111111111111112
454,Hillary Clinton,McCormack,0.11111111111111112
455,Hillary Clinton,Obama,0.11111111111111112
456,Hillary Clinton,McCormack,0.32500000000000007
457,Emperor Caligula,John Kirby,0.26666666666666666
458,Kerry,Kirby,-0.15
459,Rockefeller,Soros,0.0
460,Rotschilds,Soros,0.0
461,Rockefeller,Rotschilds,0.0
462,Clintons,Obamas,0.0
463,Bill,Hillary,0.1777777777777778
464,Piggy,Universe,0.0
465,Donald Trump,Hillary Clinton,0.2
466,Carla,Manlio Dinucci,0.0
467,Manlio Dinucci,Mao Tse Toung,0.0
468,Carla,Mao Tse Toung,0.0
469,Al Gore,Bush,0.0
470,Al Ghurair,Al Gore,-0.4
471,Brian Hooker,Thompson,0.0
472,Brian Hooker,Measles,0.0
473,Measles,Thompson,0.0
474,Bryan Smith,Robert F. Kennedy Jr.,0.25
475,Robert F. Kennedy Jr.,Thompson,0.25
476,Brian Hooker,Robert F. Kennedy Jr.,0.25
477,Bryan Smith,Thompson,0.25
478,Brian Hooker,Bryan Smith,0.25
479,Brian Hooker,Thompson,0.25
480,Testimony Disconcertingly,Thomas Frieden,0.0
481,Testimony Disconcertingly,Thompson,0.0
482,Thomas Frieden,Thompson,0.0
483,Kennedy,Smith,0.0
484,Smith,Thompson,0.0
485,Kennedy,Thompson,0.0
486,Kennedy,Thompson,-0.25
487,Frieden,William Thompson,0.0
488,Frieden,William Thompson,-0.3500000000000001
489,Thompson,Yates Hazlehurst,0.0
490,Anthony Weiner,Hillary Clinton,0.005681818181818177
491,Clinton,James Comey,0.042857142857142864
492,Gloria Borger,Lew,-0.5
493,Lew,Trump,-0.5
494,Gloria Borger,Trump,-0.5
495,Bernie Sanders,Hillary,-0.2
496,Joe,Moe,0.15000000000000002
497,Cherryl Mills,Clinton,0.0
498,Clinton,Heather Samuelson,0.0
499,Cherryl Mills,Heather Samuelson,0.0
500,Anthony Weiner,Hillary Clinton’s,-0.4
501,Donald Trump,{Bernie Sanders,0.0
502,Clinton,Donald Trump,0.2833333333333334
503,Clinton,Madame,0.06666666666666667
504,Clinton,Clinton,-0.012244897959183682
505,Clinton,Wikileaks,0.18
506,John Podesta,Wikileaks,0.18
507,Clinton,John Podesta,0.18
508,Clinton,Tim Kaine,0.08333333333333334
509,Clinton,Obama,0.15153061224489797
510,Strangelove,«natureboy,-0.5
